Data category,Data type,Collected,Shared,Required/Optional,Encrypted in transit,Users can request deletion,Purposes,Notes
Personal info,Name,Yes,No,Required,Yes,Yes,"App functionality; Account management",First + family name on the profile.
Personal info,Email address,Yes,No,Required,Yes,Yes,"App functionality; Account management",Cognito username + verification target.
Personal info,User IDs,Yes,No,Required,Yes,Yes,"App functionality; Account management",Cognito sub UUID — internal identifier.
Personal info,Address,Yes,No,Optional,Yes,Yes,App functionality,ISO 3166-1 alpha-2 country code only — not a postal address.
Personal info,Phone number,No,,,,,,Not collected.
Personal info,Race and ethnicity,No,,,,,,Not collected.
Personal info,Political or religious beliefs,No,,,,,,Not collected.
Personal info,Sexual orientation,No,,,,,,Not collected.
Personal info,Other info,Yes,No,Required,Yes,Yes,App functionality,Date of birth — used to enforce 16+ minimum age at signup.
Financial info,User payment info,No,,,,,,Not collected (no IAP yet).
Financial info,Purchase history,No,,,,,,Not collected.
Financial info,Credit score,No,,,,,,Not collected.
Financial info,Other financial info,No,,,,,,Not collected.
Health and fitness,Health info,No,,,,,,Not collected.
Health and fitness,Fitness info,No,,,,,,Not collected — we do not record activities or biometrics.
Messages,Emails,No,,,,,,Not collected.
Messages,SMS or MMS,No,,,,,,Not collected.
Messages,Other in-app messages,Yes,No,Required,Yes,Yes,App functionality,Group chat threads scoped to a single ride.
Photos and videos,Photos,Yes,No,Optional,Yes,Yes,App functionality,Profile picture only — stored in private S3 with signed URLs.
Photos and videos,Videos,No,,,,,,Not collected.
Audio files,Voice or sound recordings,No,,,,,,Not in this build (PTT is Premium-only and not shipping).
Audio files,Music files,No,,,,,,Not collected.
Audio files,Other audio files,No,,,,,,Not collected.
Files and docs,Files and docs,No,,,,,,Not collected.
Calendar,Calendar events,No,,,,,,Write-only access to add a ride; we do not read or store the user's calendar.
Contacts,Contacts,No,,,,,,Not collected.
Location,Approximate location,Yes,No,Optional,Yes,Yes,App functionality,Used by Discover to sort public rides by distance. Coordinates not persisted server-side.
Location,Precise location,Yes,No,Optional,Yes,Yes,App functionality,Used by the meeting-point picker and Discover. Coordinates not persisted server-side.
Web browsing,Web browsing history,No,,,,,,Not collected.
App activity,App interactions,Yes,No,Optional,Yes,Yes,Analytics,Anonymous app-usage events via Firebase Analytics (sign-up; sign-in; ride created; RSVP; screen view). No Cognito user ID; name; or email passed to Firebase.
App activity,In-app search history,No,,,,,,Not collected.
App activity,Installed apps,No,,,,,,Not collected.
App activity,Other user-generated content,No,,,,,,Chat covered under Messages above.
App activity,Other actions,No,,,,,,Not collected.
Web search history,Web search history,No,,,,,,Not collected.
Installed apps,Installed apps,No,,,,,,Not collected.
Device or other IDs,Device or other IDs,Yes,No,Optional,Yes,Yes,Analytics,Firebase-generated anonymous instance ID. Not linked to user account on our side.
App info and performance,Crash logs,Yes,No,Required,Yes,Yes,Analytics,Sentry — anonymised stack traces. No request bodies; no user-identifying details attached.
App info and performance,Diagnostics,Yes,No,Required,Yes,Yes,Analytics,Sentry — anonymised performance metrics.
App info and performance,Other app performance data,No,,,,,,Not collected.
